# time luminosity u_luminosity radius u_radius
-5.394345825858181342e+00 9.965354789426946456e+37 1.756914271749203051e+37 1.011262069744765409e+06 2.830942471835286938e+02
-5.364917788596358150e+00 1.008410591074539683e+38 1.757959268157216985e+37 1.011282740781460190e+06 2.837287969735048136e+02
-5.334225746977608651e+00 1.020469197907494119e+38 1.759268445501975778e+37 1.011303862330783275e+06 2.844611371967222908e+02
-5.301462580813677050e+00 1.032927813248728171e+38 1.760992680590258037e+37 1.011325800099785090e+06 2.852866301909272124e+02
-5.265631485017365776e+00 1.046153245651387389e+38 1.763098610237623290e+37 1.011349259818283492e+06 2.862740145840285777e+02
-5.230687555434997194e+00 1.058650144680714751e+38 1.765243207852516809e+37 1.011371623317308142e+06 2.872943117531293638e+02
-5.197291936477995478e+00 1.070261872860047654e+38 1.767294961810287755e+37 1.011392576787639409e+06 2.883169544883854201e+02
-5.164266923078685068e+00 1.081448840776181984e+38 1.769369897610227002e+37 1.011412928063433734e+06 2.893812671418304490e+02
-5.130725068025640212e+00 1.092487965842515663e+38 1.771575725640560346e+37 1.011433212967622909e+06 2.905192386636953188e+02
-5.095827602417557500e+00 1.103697299968502267e+38 1.773720166611603315e+37 1.011453986161244102e+06 2.917439180174987996e+02
-5.058654531909269281e+00 1.115322654208750195e+38 1.775998241791938756e+37 1.011475742112218402e+06 2.930967521891321326e+02
-5.021101488135172985e+00 1.126766242479132565e+38 1.778219011935237393e+37 1.011497386235052603e+06 2.945117061934277558e+02
-4.985315534184337594e+00 1.137432090185397043e+38 1.780303826476142649e+37 1.011517748605065397e+06 2.959129971088827915e+02
-4.949951820235583000e+00 1.147744079264322420e+38 1.782369108494054047e+37 1.011537646375558921e+06 2.973571223145368094e+02
-4.913984901286312379e+00 1.158028038607355987e+38 1.784467349079591290e+37 1.011557685115028755e+06 2.988839789845423525e+02
-4.876408866184647195e+00 1.168572895323265763e+38 1.786659754807065868e+37 1.011578440819758340e+06 3.005416914388813439e+02
-4.836933093029074371e+00 1.179454712884239893e+38 1.788920462529873138e+37 1.011600087107199128e+06 3.023517209090034044e+02
-4.799514766826177947e+00 1.189594516444669196e+38 1.791153158618534521e+37 1.011620472979453974e+06 3.041390468512482812e+02
-4.762615242565516382e+00 1.199463360617754743e+38 1.793437987265968666e+37 1.011640515953538357e+06 3.059906926177368973e+02
-4.725107537873554975e+00 1.209382335464137432e+38 1.795871091810535172e+37 1.011660839315484394e+06 3.079574309434909765e+02
-4.685891301473020576e+00 1.219637990381285376e+38 1.798648794468423200e+37 1.011682079671011656e+06 3.101281030005321213e+02
-4.643770563649013638e+00 1.230552834218187545e+38 1.801835202938875171e+37 1.011704905101519660e+06 3.125811552570893923e+02
-4.602394223824376240e+00 1.241188243749078687e+38 1.805282843990717826e+37 1.011727388296136400e+06 3.151301451775879059e+02
-4.562303801663802005e+00 1.251434709486642589e+38 1.808920102477896653e+37 1.011749239886996569e+06 3.177265429127681386e+02
-4.522187095397384837e+00 1.261652156470352916e+38 1.812903573653408557e+37 1.011771227446222096e+06 3.204733930900557084e+02
-4.480955857856315561e+00 1.272127707267910528e+38 1.817424854199813367e+37 1.011793966907952796e+06 3.234514996874792701e+02
-4.437508790899300948e+00 1.283163649261792421e+38 1.822682099791009338e+37 1.011818127690617810e+06 3.267821515435470587e+02
-4.390614641990396194e+00 1.295083672619642106e+38 1.829017946537276921e+37 1.011844465946335578e+06 3.306023775565005849e+02
-4.346065026911674067e+00 1.306439253362363548e+38 1.835657660817493129e+37 1.011869761565938476e+06 3.344465962972595889e+02
